utterance,hat
How do you choose which companies to work with ?,black
I am impatient with myself at times and am hard on myself .,white
I don't want to .,red
One more question . It looks like some of these numbers are long-distance . Do you have a calling card that I can use to get through to them ?,black
No . But I often send e-mail to them . And make a call to my parents regularly .,black
"Well , honey , I can teach you how to plant them if you want to learn . __eou__",green
I played outfield . I hated the infield because I never figured out all the bounces .,black
Roger Vargas is up at bat . The pitcher winds up and strike one !,yellow
They say he can sum up like winking .,yellow
"Which kind of food do you like , chinese food , western food or sea food ?",black
"nothing else has happened to me , but I have seen quite a few fights on the streets after the bars close .",black
"No , we got no receipt , and we pay it on the spot ! __eou__",red
I'd love to squeeze in a trip to the Great Wall .,green
"I know what love it . When I was young , I felt the same way .",black
"Sorry , he is out .",white
"Oh , you mean Pavarotti , Domingo and Carreras . Have you been to their live shows ?",yellow
Just a moment and I'll get your order right away . Sorry to cause the inconvenience . __eou__,red
That must be very beautiful .,yellow
This way please . We have a full range of products from cosmetics to skin cleansers .,green
The 5th . __eou__,white
They arrested me without probable cause .,red
It's a huge headache . I have no idea what I want to do .,red
All my relatives are getting together at my house .,black
"Well , you know me . I can always eat pizza , or spaghetti .",green
"Alright , tell me about the ties you have to your home country .",green
Yes . We ’ Ve signed two contracts with companies that we already do work for in other countries . We hope to sign another three this month .,black
"The kind that never goes out of fashion , I guess .",green
How about taking a cantaloupe ? It is light and sweet . Children love it .,green
"Maybe we should make a plan and list what we should do next , and follow it .",yellow
So what ? It is not fresh and I'm not happy about it .,red
This place is so quiet and peaceful . It ’ s really different from my pad at city .,black
OK ! I'll call security . __eou__,red
Why don't you make a salad like that ?,green
"I knew there would be a few choices , but this selection is huge !",green
Thank you . I begin to like English even when I was a child .,yellow
"Yeah , but we still need RIB 500,000 . Maybe we can use some of our savings to pay part of it .",green
I see.Thank you . __eou__,yellow
And they will yell back at you .,red
"Well , I know that in most Asian countries Apple is not very popular.But here in America , especially in universities and publishing companies , Apple is very commonly used .",green
That's a chick flick ! __eou__,white
It is Europe's spotless land of lakes and mountains ! Let me know as soon as you can so we can get a discount . __eou__,yellow
"Sure , Merton Financial Advisors .",white
"Yes , we're making plans for a tour .",white
Couldn ’ t be better . And you ?,white
Yes . What colors do you like ?,green
How did you get on with your studies in university ?,black
Thanks ! I'm so happy . It's like a dream come true . __eou__,yellow
What happened to you last night ? You didn ’ t show up .,red
"Oh , shut up , will you ? It was all your fault . If you'd kept quite this would never have happened .",red
There's still a lot left-have some more !,green
"You know what , I've just got a new job with a computer company .",yellow
Have you already forgotten ? What's the date today ?,white
Absolutely . And it's a good way to kill time during the tour .,green
I enjoy listening to all kinds of music .,white
Gatorade . It ’ s rich in Vitamin and it gives us energy and vitality .,yellow
"Sure . The first food you have is appetizer , followed by a soup . Then you will have the main course . The last dishes are desserts .",green
I hate dentists .,red
I want to find information on the American Civil War .,black
Will we drive to the seaside ?,yellow
"Hello , let me introduce myself . I'm your neighbor . My name is Shirley .",yellow
"You got it . Well , he walked up to me and said my name again and then I realized it was the boy I had been thinking about , the one from third grade ! __eou__",yellow
No problem . Bob . __eou__,yellow
I see . Do you have any ideas so far ?,green
"I see your point , but I seem to be on bad terms with them .",red
"Sure . But it's a very difficult one , you need to have a dictionary at your elbow .",green
"Doctor , save my baby , please",red
Are you serious ? I have to pay $ 2 for a movie I never watched ?,red
"Oh , just olives please . What music is this ?",yellow
Good idea . I'd suggest you do some crunches too . Thery're great for getting in shape . Make sure you do them correctly .,red
Why don't you visit the Great Wall first ?,green
We don ’ t have a national day .,white
"It's got its own library , theatre , swimming pool , and a guest house . The house itself has about ten different rooms that are all hooked up to computers so you can get things done in each room through a remote control . It's also located near the sea , so he can park his boats next to his house . It's absolutely amazing !",black
"Oh yeah and decorating the house too was colored paper and pictures . they will put a Christmas tree just inside the front door , pained toys and colored electric lights along the branches and plays all the gift packages under it .",green
"Well , there are a lot of storybooks upstairs in our children's section . Some are written for young children , others for teens . Maybe some of them will suit your needs .",green
Thank you . I'll go through it and tell you .,yellow
I can ’ t bear to look at it . I ’ m rather disappointed .,red
"yes , they were horrible . We had to wear green every day !",red
What a shame ! You should have showed yourself to them !,red
"Yes , it not only includes the nation's historical and cultural background , but also contains the nation's view of life way of life and way of thinking .",black
Certainly.Go ahead . __eou__,white
Clear soup . I think tomato soup is fine . __eou__,green
"Well , the north of Norway is almost always cold , but further south it can be fairly warm in summer . It ’ s a wet country , so there ’ s snow almost everywhere in winter .",black
"Oh , don't mention it . __eou__",yellow
You must be very busy these days . I heard you are responsible for the meeting arrangements this time . It can be the most important meeting for our company this year .,black
"Cool , we can take shuttlecock and badminton racket .",white
It's a perfect day for swimming .,yellow
With cold milk ! __eou__,green
