turn,utterance,emotion,act,hat,dialogue_id,topic
2,"OK , Let me see . I suppose we must strengthen our promotion , because our brand is still new to some consumers . Maybe we should start our advertising program with our local and overseas distributors simultaneously , because they stand on a better position for selecting the best ways to advertise in market places . Besides , the advertisement fund can encourage them to spend more attention on advertising our products .",no_emotion,directive,green,10615,Work
6,"If you take a 75 % position in the venture , we would take a back seat to you . __eou__",no_emotion,directive,green,10489,Work
3,Would you like to come and have dinner with us on Friday ?,no_emotion,directive,green,4850,Relationship
11,"With the cabinets taken out , it might be bigger than it looks .",no_emotion,directive,green,10475,Work
5,"Deeper , softer , none of your twittering larks . I would banish nightingales from her garden before they interrupted her song .",happiness,inform,green,4258,Attitude_Emotion
2,"The first problem is supposed to be solved after the investigation . About the second problem , I admit it's our fault , so we will exchange all merchandise that falls short of our sample .",no_emotion,directive,green,10617,Work
3,That is a good idea to start with . I also think the mass media is also a good approach for advertising .,no_emotion,directive,green,10615,Work
7,"I know , I know.Have you got a portable radio ? You can listen to the news and get healthy at the same time .",no_emotion,directive,green,4171,Attitude_Emotion
9,"Well , the only thing you can do is tell the phone company and hope they fix it fast .",no_emotion,inform,green,4247,Attitude_Emotion
3,"Okay , I'll speak to him . __eou__",no_emotion,inform,green,10474,Work
3,"Okay , I'll get Bob to cover you . __eou__",no_emotion,commissive,green,10466,Work
2,Then stay away . No one is keeping you from doing that .,no_emotion,inform,green,4164,Attitude_Emotion
1,"Okay , let's call it a day . __eou__",no_emotion,commissive,green,10468,Work
2,"Well , you should have thought .",no_emotion,inform,green,4259,Attitude_Emotion
0,"Mary , be calm .",no_emotion,directive,green,4257,Attitude_Emotion
2,We should have a word with him .,no_emotion,directive,green,10439,Work
2,Would you like to play tennis with me ?,happiness,directive,green,4847,Relationship
5,What about Saturday ?,no_emotion,directive,green,4850,Relationship
1,"Thomas , if I could write with the beauty in her eyes , I was born to look in them and know myself .",happiness,inform,green,4258,Attitude_Emotion
6,OK ... OK ... Anyway . I will treat you as my best friend . I hope you can do the same .,no_emotion,inform,green,4257,Attitude_Emotion
8,"That ’ s all right . We will pay you 4 , 000 yuan a month for supporting your family . Would you like to start on next Monday ?",no_emotion,commissive,green,10619,Work
3,"Yes , quite a bit . How about a game sometime ?",no_emotion,directive,green,4840,Relationship
2,Why not go and see a doctor ?,no_emotion,question,green,4241,Attitude_Emotion
0,What do you think of his behaviour yesterday ?,no_emotion,question,green,4228,Attitude_Emotion
1,It's no use arguing the toss .,no_emotion,inform,green,4229,Attitude_Emotion
0,"Sam , we are hard up for the everyday expenses . When can you find a job .",no_emotion,question,green,4225,Attitude_Emotion
7,"I was just there a couple of days ago . You know , you should go down there too . They have a lot of stylish clothes on sale .",no_emotion,inform,green,4260,Attitude_Emotion
3,Let me handle it . __eou__,no_emotion,commissive,green,10439,Work
5,Why don ’ t we go together ? I can show you around . I think you ’ ll have a better time .,happiness,directive,green,4878,Relationship
2,"Okay , I'll ask Bob to cover it .",no_emotion,directive,green,10463,Work
2,I ’ m just coming for that .,no_emotion,commissive,green,4220,Attitude_Emotion
1,"Yeah , why not ? We haven't been out for dinner for quite a long time . A new French restaurant has just opened in our neighborhood . We can go there .",happiness,commissive,green,4831,Relationship
0,I am so bored all day .,no_emotion,inform,red,4235,Attitude_Emotion
3,Congratulations . How lucky you are !,happiness,inform,red,4209,Attitude_Emotion
0,"On balance , dress designing appeals to me most .",happiness,inform,red,4185,Attitude_Emotion
5,Maybe . But it still gets on my nerves . __eou__,sadness,inform,red,4212,Attitude_Emotion
0,I'm terribly nervous .,fear,inform,red,4862,Relationship
5,"Sorry , love .",no_emotion,inform,red,4210,Attitude_Emotion
6,Thank you . You helped me a lot .,happiness,commissive,red,10624,Work
2,You don ’ t know that I have been over-protected by my mother these years . I am really about to leave the family and spread my wings .,no_emotion,inform,red,4187,Attitude_Emotion
6,Thanks . I feel like celebrating . Let's go have a beer . It's on me .,happiness,directive,red,4168,Attitude_Emotion
0,"Bob , I'm really upset with you .",anger,inform,red,4256,Attitude_Emotion
1,He is really terrific !,surprise,inform,red,4193,Attitude_Emotion
2,"Okay , thanks .",happiness,inform,red,10473,Work
3,"I know , I'm sorry . __eou__",sadness,inform,red,4256,Attitude_Emotion
2,"No , seriously . I'm impressed .",no_emotion,inform,red,4206,Attitude_Emotion
3,Thanks . I appreciate it . __eou__,happiness,commissive,red,10463,Work
5,Forgive me darling . I'm very tired . __eou__,no_emotion,inform,red,4180,Attitude_Emotion
3,"I'll take one , too . __eou__",happiness,inform,red,4183,Attitude_Emotion
0,Mark is parade his knowledge again .,disgust,inform,red,4195,Attitude_Emotion
3,It's my dream . __eou__,happiness,inform,red,4185,Attitude_Emotion
3,"Oh , Kelly , I couldn't recognize your voice . Well , I'm fine .",no_emotion,inform,red,10437,Work
0,"I heard you're getting married , James . Congratulations !",happiness,inform,red,4169,Attitude_Emotion
3,If you say so ! __eou__,no_emotion,inform,red,4182,Attitude_Emotion
1,Mmmm ... it's hard to say . I like golf a lot-but I guess I like tennis better .,no_emotion,inform,red,4840,Relationship
3,"Yes , me too . I think I ’ Ve lost some important clients recently because of this train !",anger,inform,red,4188,Attitude_Emotion
3,"Dear , forgive me . I won ’ t do that again . __eou__",no_emotion,inform,red,4196,Attitude_Emotion
0,"To be frank , I find philosophy rather boring .",no_emotion,inform,red,4175,Attitude_Emotion
0,I'm worried sick that she will leave me tomorrow .,sadness,inform,red,4229,Attitude_Emotion
3,That's great . I thought you said you didn't get the job .,happiness,inform,red,4168,Attitude_Emotion
4,Just because he gets on well with everybody ?,no_emotion,question,red,4214,Attitude_Emotion
5,I really envy you . You know I'm not taking my vacation until December . __eou__,no_emotion,inform,red,10482,Work
0,Your knowledge of English is really surprising .,surprise,inform,red,4206,Attitude_Emotion
5,I ’ m sure you ’ ll enjoy the trip . China is such a beautiful country .,happiness,inform,red,4209,Attitude_Emotion
4,Thank you very much indeed.You helped me rebuild my self-confidence .,happiness,inform,red,4173,Attitude_Emotion
2,So what ? I just lost one hour's worth of work .,anger,inform,red,4251,Attitude_Emotion
0,Mary is really a diligent girl .,happiness,inform,red,4199,Attitude_Emotion
1,"Yes , it's to my liking , too .",happiness,inform,red,4185,Attitude_Emotion
3,His parents must feel very happy . __eou__,happiness,inform,red,4181,Attitude_Emotion
0,I'm afraid of the darkness .,fear,inform,red,4177,Attitude_Emotion
1,I really want to take him over my knee .,anger,inform,red,4182,Attitude_Emotion
2,Yeah . We rolled out the red carpet to welcome him home . __eou__,no_emotion,inform,red,4203,Attitude_Emotion
7,"Have a nice journey , Lily .",happiness,inform,red,4209,Attitude_Emotion
3,I think we ’ ll benefit a lot . __eou__,happiness,inform,red,4198,Attitude_Emotion
8,I'm really sick of you . __eou__,disgust,inform,red,4205,Attitude_Emotion
3,She never cares about others .,disgust,inform,red,4167,Attitude_Emotion
1,I don't know why I cannot take a step forward .,no_emotion,inform,red,4176,Attitude_Emotion
8,"Thank you , David . __eou__",happiness,inform,red,4209,Attitude_Emotion
0,I've had enough of that !,disgust,inform,red,4186,Attitude_Emotion
3,Not bad . I ’ m confident . And I like challenges .,no_emotion,inform,red,10485,Work
2,But you should at least consider your son's future .,no_emotion,inform,red,4192,Attitude_Emotion
2,"Anyway , it's my ideal coat . I'll take it .",happiness,inform,red,4183,Attitude_Emotion
2,Again !,no_emotion,inform,red,4200,Attitude_Emotion
0,I'm so angry . I feel like killing someone .,anger,inform,red,4165,Attitude_Emotion
4,I believe you are cut out for this position .,happiness,inform,red,10485,Work
12,"Yes , he was . I'm not imagining it.Finally , just when I got home , I turned around and looked at him.He was just standing there . He didn't smile . He just stood there . It was so obvious.What should I do ? I'm so scared . Can I call the police ?",fear,question,red,4250,Attitude_Emotion
1,Calm down . __eou__,no_emotion,inform,red,4165,Attitude_Emotion
2,I feel he's like a talking machine .,no_emotion,inform,red,4191,Attitude_Emotion
0,I like the design of the coat .,happiness,inform,red,4183,Attitude_Emotion
5,Thank you . __eou__,happiness,inform,red,10485,Work
0,I wish you would not be so selfish .,no_emotion,inform,red,4192,Attitude_Emotion
1,Calm down ! __eou__,no_emotion,inform,white,4862,Relationship
2,"Say , how would you like to be a dress designer ?",no_emotion,question,white,4185,Attitude_Emotion
0,I ’ m itching for moving !,anger,inform,white,4243,Attitude_Emotion
2,Why ?,no_emotion,question,white,10467,Work
2,Are you sure ?,surprise,question,white,4214,Attitude_Emotion
3,"Mr . Richard , this is Henry . I was interviewed by you last Tuesday .",no_emotion,inform,white,10622,Work
0,It seems that nobody in your class likes Paul .,no_emotion,inform,white,4230,Attitude_Emotion
1,"Oh , it's nothing to speak of .",no_emotion,inform,white,4206,Attitude_Emotion
8,I agree with you . It will cost too much when going abroad to join the exhibition .,no_emotion,inform,white,10483,Work
0,Hello ! Is this Mr . Chang ?,no_emotion,question,white,10437,Work
0,"I've heard that you've made a new strange friend recently , Sophie .",no_emotion,inform,white,4867,Relationship
6,What are you looking for now ?,no_emotion,question,white,4210,Attitude_Emotion
2,Why ?,no_emotion,question,white,4239,Attitude_Emotion
4,She is a clever mother . __eou__,no_emotion,inform,white,4189,Attitude_Emotion
7,How long does it usually take you to make delivery ?,no_emotion,question,white,10488,Work
0,What's up ? You look low .,no_emotion,question,white,4212,Attitude_Emotion
2,He's been late for work twice .,no_emotion,inform,white,10474,Work
0,What is wrong with your face ?,no_emotion,question,white,4239,Attitude_Emotion
4,"Tomorrow ? No , I'm afraid I wouldn't be able to . I'm going out of the town on business .",no_emotion,commissive,white,4850,Relationship
4,That's all right . __eou__,happiness,inform,white,4265,Attitude_Emotion
6,"Of course , let me help you .",no_emotion,commissive,white,10476,Work
5,"But I am her brother , not her servant . __eou__",no_emotion,inform,white,4220,Attitude_Emotion
3,Yes . Thank you very much . I am looking forward to hearing from you .,no_emotion,commissive,white,10625,Work
0,He has come to life in the end .,no_emotion,inform,white,4240,Attitude_Emotion
3,Is there anything else I can do for you before your leave ?,no_emotion,directive,white,10480,Work
6,It's only thirty yuan .,no_emotion,inform,white,4249,Attitude_Emotion
2,Does it happen often ?,no_emotion,question,white,4833,Relationship
2,"We hope to make a decision in the next few days . We'll notify you of our decision by mail , is this convenient for you ?",no_emotion,directive,white,10625,Work
1,Don't worry . I'll drive you back .,no_emotion,directive,white,4177,Attitude_Emotion
1,The boy is good for nothing .,no_emotion,inform,white,4230,Attitude_Emotion
3,No need for that . It's not usually busy on weekdays .,happiness,inform,white,4831,Relationship
1,You mean that he is bad-tempered and often gets angry with you .,no_emotion,inform,white,4233,Attitude_Emotion
1,"Hello , may I speak to Mr . Richard ?",no_emotion,question,white,10622,Work
3,Thank you.It ' s very nice of you to say so .,happiness,inform,white,4242,Attitude_Emotion
2,Here is a present for you . I hope you like it .,happiness,inform,white,4854,Relationship
0,"Is your lady beautiful ? Since I came here from the country , I've not seen her close . Tell me , is she beautiful ?",happiness,question,white,4258,Attitude_Emotion
2,You can say that again . __eou__,happiness,inform,white,4224,Attitude_Emotion
1,What ’ s the matter ? What annoy you ?,no_emotion,question,white,4243,Attitude_Emotion
0,What do you think of the new mayor ?,no_emotion,question,white,4844,Relationship
2,Do you think you are introverted or extroverted ?,no_emotion,question,white,10460,Work
3,What are you thinking about ?,no_emotion,question,white,10489,Work
3,You'd better cool yourself down first . __eou__,no_emotion,inform,white,4208,Attitude_Emotion
0,Our house is too small . We had better have a big one .,no_emotion,inform,white,4237,Attitude_Emotion
0,What is this for ?,no_emotion,question,white,10473,Work
6,What is the lowest salary you may consider ?,no_emotion,question,white,10619,Work
3,When are you going to take your vacation ?,no_emotion,question,white,10482,Work
5,"It's easy . If you do exercise everyday , you can make it , too . __eou__",no_emotion,inform,white,4837,Relationship
3,We have read about this in your sales literature . Could you give us some idea of your prices ?,no_emotion,question,white,10488,Work
0,"Hello , Jack here .",no_emotion,inform,white,4850,Relationship
1,I'm doing the business online .,no_emotion,inform,white,10486,Work
9,Anything you want . They have both casual and formal styles .,no_emotion,inform,white,4260,Attitude_Emotion
1,What is it ? What happened ?,no_emotion,question,white,4250,Attitude_Emotion
2,"Our quality control department is in charge of the inspection , which is directly under general manager . It is essential to attach the importance to the quality of goods . It is the basement for the future cooperation .",no_emotion,inform,white,10476,Work
1,OK . Commodity inspection is really an important part of our trade contract .,no_emotion,inform,white,10481,Work
3,Next week . __eou__,happiness,inform,white,4828,Relationship
0,How was your vacation in Paris ?,no_emotion,question,white,4870,Relationship
4,What do you think is the most important thing for you to be happy ?,no_emotion,question,white,10460,Work
2,I ’ m calling to offer you the position of computer engineer .,no_emotion,directive,white,10619,Work
1,What is it ?,happiness,question,white,4880,Relationship
3,Of course . Mary is our most experienced member . __eou__,no_emotion,inform,yellow,10465,Work
4,You did a good job . I'm extremely proud of you .,happiness,inform,yellow,4880,Relationship
1,Wow ! I'm so happy for you . __eou__,happiness,inform,yellow,4865,Relationship
5,"I maintain that the most important thing is having good friends . A person can't live all by himself . A friend in need is a friend indeed . So the more really close friends I have , the happier I am .",no_emotion,inform,yellow,10460,Work
3,Do you think it will help if we appoint a local agent ?,no_emotion,question,yellow,10487,Work
2,I hope you like it .,happiness,inform,yellow,4265,Attitude_Emotion
1,I'm happy with that price .,no_emotion,inform,yellow,10435,Work
1,"How do you do , Ms . Yang.You speak very good English .",happiness,inform,yellow,4245,Attitude_Emotion
3,You ’ ll exert all your energy and get out of it . __eou__,no_emotion,inform,yellow,4223,Attitude_Emotion
3,That ’ s great . Thanks for the ride . I really appreciate 1 it . You know my car is still in the shop .,no_emotion,commissive,yellow,10479,Work
5,I think we can still talk .,no_emotion,inform,yellow,4263,Attitude_Emotion
2,"Sure , I'll give you a call .",happiness,inform,yellow,4859,Relationship
12,"Oh , it's no problem.It ' s OK.You know , it only happened once .",happiness,inform,yellow,4244,Attitude_Emotion
0,This is our best product .,no_emotion,inform,yellow,10490,Work
1,It was exciting ! __eou__,happiness,inform,yellow,4870,Relationship
2,"Oh , you look stunning . Your dress really goes well with your shoes .",happiness,inform,yellow,4260,Attitude_Emotion
4,I can assure you that such a thing today will never happen again in future delivery . We have made the plan to improve the package of our exported goods . __eou__,no_emotion,directive,yellow,10617,Work
2,"That sounds like a lot of fun . Did you go swimming , too ?",happiness,question,yellow,4879,Relationship
2,"You did a good job for the company . So , this is your first day in the new position . How do you feel ?",no_emotion,question,yellow,10485,Work
2,"Nice meeting you , too .",happiness,inform,yellow,4852,Relationship
1,Oh ! What a beautiful dress ! It fits you so well.You look so charming in the dress .,happiness,inform,yellow,4249,Attitude_Emotion
0,"Mike , these flowers are just gorgeous .",happiness,inform,yellow,4851,Relationship
3,"Congratulations , I hope everything works out . __eou__",happiness,inform,yellow,4857,Relationship
1,"Hi , Andy . I'm Judy . It's nice meeting you .",happiness,inform,yellow,4852,Relationship
2,I can ’ t thank you enough . I ’ m really touched . I don ’ t know what to say .,happiness,inform,yellow,4851,Relationship
5,"Yes , I ’ d love another glass . You ’ re a wonderful host . Thank you for everything .",happiness,commissive,yellow,4839,Relationship
1,I'm looking forward to going to America .,happiness,inform,yellow,4828,Relationship
17,"Listen , Carol . Don't let this bother you too much.Probably it's nothing . Just keep your eyes open when you go out.If you see him a third time , and if he follows you again , then I think we should go to the police.But for now , just try not to worry .",no_emotion,directive,yellow,4250,Attitude_Emotion
9,"Yes , I'd like to give it a try .",happiness,commissive,yellow,10620,Work
3,Good . __eou__,no_emotion,inform,yellow,10490,Work
8,"Oh , I think I should try to read one . __eou__",happiness,inform,yellow,4835,Relationship
3,"Okay , let's shake on it . __eou__",no_emotion,commissive,yellow,10435,Work
13,Let's rock n ' roll . __eou__,no_emotion,directive,yellow,10475,Work
1,"Yes , of course . This is a really wonderful party with interesting people and great food .",happiness,inform,yellow,4839,Relationship
5,Yes . It ’ s easy and convenient to use a computer . But it takes a long time to really master it . __eou__,happiness,inform,yellow,4853,Relationship
9,The most important is that it is very convenient . You know you can browse the website and send E-mails to your customers at any time . Even you can have e-contract with your regular customers .,no_emotion,inform,yellow,10483,Work
4,Don't mention it . It ’ s my pleasure .,no_emotion,inform,yellow,10479,Work
6,I can ’ t wait to go there myself . __eou__,happiness,inform,yellow,4879,Relationship
1,"I enjoyed myself , too .",happiness,inform,yellow,4832,Relationship
0,What a wonderful party ! I had a good time . How about you ?,happiness,question,yellow,4832,Relationship
2,I ’ m glad you are enjoying yourself .,happiness,inform,yellow,4839,Relationship
7,That will be fine . __eou__,no_emotion,commissive,yellow,10477,Work
1,It's too good to be true . __eou__,happiness,inform,yellow,4255,Attitude_Emotion
4,Not at all.This dress certainly shows your good taste .,happiness,inform,yellow,4242,Attitude_Emotion
4,Our prices compare favorably with those offered by other manufactures either in Europe or anywhere else . Here are our latest price lists . You will see that our prices are very attractive .,no_emotion,inform,yellow,10488,Work
4,I'm very glad to hear that .,happiness,inform,yellow,4854,Relationship
13,I am glad we've straightened everything out . __eou__,happiness,inform,yellow,4244,Attitude_Emotion
0,Don ’ t be worried . Please sit down and take it easy .,no_emotion,directive,yellow,4231,Attitude_Emotion
1,I am very active and energetic . I approach things enthusiastically and I don't like leaving them half done .,no_emotion,inform,yellow,10460,Work
9,"People who are honest , dedicated to their work and have integrity .",no_emotion,inform,yellow,10460,Work
7,The color and style are consistent with the sample . Great !,happiness,inform,yellow,10476,Work
4,"I forgot to bring it , but maybe Mary has some . Let's go and ask her . __eou__",no_emotion,inform,yellow,4877,Relationship
1,I ’ m glad you like them . Happy birthday !,happiness,inform,yellow,4851,Relationship
0,"What an attractive blouse , You look so pretty in this blue dress !",happiness,inform,yellow,4242,Attitude_Emotion
4,I understand that . But I think maybe it's not a date . You are taking the matter too much to heart .,no_emotion,inform,yellow,4212,Attitude_Emotion
0,Your PC is so amazing . Are you doing trade on internet ?,no_emotion,question,yellow,10483,Work
3,Really ? I can't believe it . It's like a dream come true . I never expected that I would win The Nobel Prize !,surprise,inform,yellow,4880,Relationship
0,You're looking great .,happiness,inform,yellow,4254,Attitude_Emotion
4,"I'm sure it will , if we are appointed your agent . Your garments are attractive , and we , a well-established importer with multiple sales channels , can boost the sales .",no_emotion,directive,yellow,10487,Work
